driver,season,round,circuit_id,weather_warm,weather_cold,weather_dry,weather_wet,weather_cloudy,nationality,constructor,grid,podium,driver_points_after_race.1,driver_wins_after_race.1,driver_standings_pos_after_race.1,driver_points,driver_wins,driver_standings_pos,constructor_points,constructor_wins,constructor_standings_pos,qualifying_time,driver_age,wins_percentage,change_teams
piquet,1983,6,spa,False,False,False,False,False,Brazilian,brabham,4,4,21,1,1,15,1,2,21,1,3,1.013,30,0.0,0
arnoux,1983,6,spa,False,False,False,False,False,French,ferrari,5,19,8,0,7,8,0,6,25,1,1,1.122,34,0.0,0
tambay,1983,6,spa,False,False,False,False,False,French,ferrari,2,2,17,1,3,14,1,3,25,1,1,0.011000000000000001,33,0.0,0
boesel,1983,6,spa,False,False,False,False,False,Brazilian,ligier,26,13,0,0,15,0,0,12,0,0,10,7.695,25,0.0,0
jarier,1983,6,spa,False,False,False,False,False,French,ligier,21,23,0,0,18,0,0,17,0,0,10,6.739,36,0.0,0
lauda,1983,6,spa,False,False,False,False,False,Austrian,mclaren,15,15,10,0,6,10,0,5,21,1,4,4.86,34,,0
watson,1983,6,spa,False,False,False,False,False,British,mclaren,20,22,11,1,5,11,1,4,21,1,4,5.702999999999999,37,0.0,0
corrado_fabi,1983,6,spa,False,False,False,False,False,Italian,osella,24,20,0,0,27,0,0,27,0,0,15,7.119,22,,0
cheever,1983,6,spa,False,False,False,False,False,American,renault,8,3,4,0,9,4,0,9,23,1,2,2.679,25,,0
prost,1983,6,spa,False,False,False,False,False,French,renault,1,1,19,1,2,15,1,1,23,1,2,0.0,28,0.5,0
angelis,1983,6,spa,False,False,False,False,False,Italian,team_lotus,13,9,0,0,25,0,0,26,0,0,13,4.695,25,,0
mansell,1983,6,spa,False,False,False,False,False,British,team_lotus,19,16,0,0,21,0,0,21,0,0,13,5.309,29,0.0,0
cecotto,1983,6,spa,False,False,False,False,False,Venezuelan,theodore,25,10,1,0,13,1,0,11,1,0,9,7.245,27,,0
guerrero,1983,6,spa,False,False,False,False,False,Colombian,theodore,14,18,0,0,28,0,0,28,1,0,9,4.707,24,,0
giacomelli,1983,6,spa,False,False,False,False,False,Italian,toleman,16,8,0,0,23,0,0,23,0,0,11,5.091,30,,0
warwick,1983,6,spa,False,False,False,False,False,British,toleman,22,7,0,0,17,0,0,16,0,0,11,6.859,28,0.0,0
alboreto,1983,6,spa,False,False,False,False,False,Italian,tyrrell,17,14,0,0,16,0,0,14,2,0,7,5.124,26,,0
sullivan,1983,6,spa,False,False,False,False,False,American,tyrrell,23,12,2,0,11,0,0,15,2,0,7,7.068,33,,0
keke_rosberg,1983,6,spa,False,False,False,False,False,Finnish,williams,9,5,14,1,4,5,0,8,21,1,5,3.36,34,0.0,0
laffite,1983,6,spa,False,False,False,False,False,French,williams,11,6,7,0,8,7,0,7,21,1,5,4.538,39,0.0,0
baldi,1983,7,detroit,True,False,False,False,False,Italian,alfa,25,12,1,0,13,1,0,12,1,0,9,5.182,29,0.0,0
cesaris,1983,7,detroit,True,False,False,False,False,Italian,alfa,8,16,0,0,24,0,0,22,1,0,9,2.719,24,0.0,0
