season,circuit_id,level_2,podium
2016,bahrain,grid,0.525691699604743
2009,monza,grid,0.524812030075188
1952,silverstone,grid,0.5245943280343733
2016,marina_bay,grid,0.52343308865048
2018,yas_marina,grid,0.5233082706766917
1985,estoril,grid,0.5223983720046317
1976,kyalami,grid,0.5187941096608524
2003,interlagos,grid,0.5172932330827068
2009,shanghai,grid,0.5142857142857142
1986,ricard,grid,0.5138461538461538
2017,shanghai,grid,0.512781954887218
2000,spa,grid,0.5121400338791643
1957,pescara,grid,0.5117647058823529
2004,spa,grid,0.5097744360902255
1993,spa,grid,0.5090604420362654
1965,monza,grid,0.508893280632411
2002,imola,grid,0.50869576226217
1969,mosport,grid,0.5067669172932331
2017,villeneuve,grid,0.5067669172932331
2006,villeneuve,grid,0.5053642010163749
1953,silverstone,grid,0.5052509040724696
2012,sepang,grid,0.5043478260869565
2019,suzuka,grid,0.5037593984962406
1950,spa,grid,0.5032967032967033
1968,spa,grid,0.5025799793601651
1965,charade,grid,0.5024509803921569
2005,sepang,grid,0.5022556390977444
1996,silverstone,grid,0.4997176736307171
1987,jacarepagua,grid,0.4990118577075099
1999,sepang,grid,0.49858836815358554
1959,monsanto,grid,0.4970588235294118
1970,rodriguez,grid,0.49432404540763675
1977,kyalami,grid,0.49333741088528543
1998,catalunya,grid,0.4896103896103896
1969,nurburgring,grid,0.4894872823896922
1985,brands_hatch,grid,0.4883070379007262
2010,hungaroring,grid,0.48782608695652174
1997,spa,grid,0.4872953133822699
1955,galvez,grid,0.4868357779152641
1959,zandvoort,grid,0.4857142857142857
2010,suzuka,grid,0.4852173913043478
1964,spa,grid,0.4840623457714146
1974,kyalami,grid,0.4829059829059829
2001,magny_cours,grid,0.4816487859966121
2004,suzuka,grid,0.48120300751879697
1971,mosport,grid,0.48102564102564105
1994,interlagos,grid,0.4789272030651341
2003,catalunya,grid,0.4781954887218045
2015,sepang,grid,0.4781954887218045
1986,hockenheimring,grid,0.47555555555555556
1960,reims,grid,0.4749759507088333
2003,osterreichring,grid,0.47368421052631576
2005,monaco,grid,0.47368421052631576
2009,monaco,grid,0.47368421052631576
2013,marina_bay,grid,0.47261434217955955
1996,hungaroring,grid,0.47218045112781953
2018,rodriguez,grid,0.47218045112781953
1984,villeneuve,grid,0.47213675213675216
1972,brands_hatch,grid,0.4707692307692308
1999,osterreichring,grid,0.46922642574816487
1950,indianapolis,grid,0.4682427971379181
2014,hungaroring,grid,0.46696781479390176
1985,monza,grid,0.46661357208374693
1953,monza,grid,0.46583710390047767
2008,monza,grid,0.46466165413533833
2015,monza,grid,0.4643657129181652
1996,villeneuve,grid,0.4624505928853755
1971,montjuic,grid,0.4613212874082439
1998,imola,grid,0.4613212874082439
1959,indianapolis,grid,0.4587203706885087
2000,villeneuve,grid,0.4579333709768492
1973,ricard,grid,0.45692307692307693
2012,monza,grid,0.45652173913043476
2016,interlagos,grid,0.4556747600225861
1998,suzuka,grid,0.4556747600225861
2013,silverstone,grid,0.4556747600225861
1953,nurburgring,grid,0.4554767284364468
1975,interlagos,grid,0.45524509456243895
2001,sepang,grid,0.45454545454545453
2005,istanbul,grid,0.45263157894736844
2009,nurburgring,grid,0.45263157894736844
2016,monaco,grid,0.45235435056937806
1959,monza,grid,0.45098818520386585
1954,galvez,grid,0.45098039215686275
1987,silverstone,grid,0.45021985592368924
1951,silverstone,grid,0.4496240601503759
1973,zandvoort,grid,0.44956521739130434
1971,zandvoort,grid,0.4480809475639133
2005,nurburgring,grid,0.44661654135338347
1969,charade,grid,0.44505494505494503
1984,nurburgring,grid,0.4441025641025641
2005,shanghai,grid,0.4421052631578947
1964,essarts,grid,0.4411764705882353
2001,catalunya,grid,0.4409937888198758
1999,catalunya,grid,0.4409937888198758
2004,indianapolis,grid,0.4406015037593985
1993,kyalami,grid,0.44005767623088843
2014,hockenheimring,grid,0.4398644833427442
2002,nurburgring,grid,0.4398644833427442
1975,ricard,grid,0.4379487179487179
2001,albert_park,grid,0.4376058723884811
2013,sepang,grid,0.4376058723884811
2012,interlagos,grid,0.4365217391304348
1997,suzuka,grid,0.4363764135696531
1997,jerez,grid,0.435347261434218
2003,sepang,grid,0.4345864661654135
1951,monza,grid,0.4337036342945053
2003,monza,grid,0.4330827067669173
1992,estoril,grid,0.4297435897435897
1995,nurburgring,grid,0.42869565217391303
1969,silverstone,grid,0.4264705882352941
1998,monza,grid,0.42631281761716544
1986,jacarepagua,grid,0.42615384615384616
2008,fuji,grid,0.42406015037593986
2015,americas,grid,0.42406015037593986
1960,galvez,grid,0.42352237600621345
1997,hockenheimring,grid,0.42292490118577075
2016,spa,grid,0.42066629023150764
1993,interlagos,grid,0.42017094017094014
1985,villeneuve,grid,0.4153846153846154
2002,catalunya,grid,0.4150197628458498
1993,suzuka,grid,0.41391304347826086
1967,kyalami,grid,0.41382868937048506
2015,hungaroring,grid,0.41353383458646614
1987,osterreichring,grid,0.41333333333333333
